province_region,area_covered_cln3,province_match,response_level_cln2,date_start_cln,date_end_cln,policies_Domestic travel,policies_Gatherings,policies_Individual,policies_International travel,"policies_Offi, busi, inst",policies_School,policies_Special populations,policies_Surveillance,policies_NA,policies_required_Domestic travel,policies_required_Gatherings,policies_required_Individual,policies_required_International travel,"policies_required_Offi, busi, inst",policies_required_School,policies_required_Special populations,policies_required_Surveillance,policies_required_NA,abs_days_from_start_Domestic travel,abs_days_from_start_Gatherings,abs_days_from_start_Individual,abs_days_from_start_International travel,"abs_days_from_start_Offi, busi, inst",abs_days_from_start_School,abs_days_from_start_Special populations,abs_days_from_start_Surveillance,abs_days_from_start_NA,abs_days_from_end_Domestic travel,abs_days_from_end_Gatherings,abs_days_from_end_Individual,abs_days_from_end_International travel,"abs_days_from_end_Offi, busi, inst",abs_days_from_end_School,abs_days_from_end_Special populations,abs_days_from_end_Surveillance,abs_days_from_end_NA
Beijing,Dalian,FALSE,Level III,2020-07-20,2020-07-31,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,8,0
Chongqing,Chongqing,TRUE,Level I,2020-01-25,2020-03-10,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,52,9,7,0,0,0,0,0,0,7,36,52,0,0,0
Chongqing,Chongqing,TRUE,Level II,2020-03-11,2020-03-24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Chongqing,Chongqing,TRUE,Level III,2020-03-25,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Fujian,Fujian,TRUE,Level I,2020-01-24,2020-02-26,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,7,0,10,3,0,2,0,0,0,26,0,23,30,0,31,0
Fujian,Fujian,TRUE,Level II,2020-02-27,2020-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Fujian,Fujian,TRUE,Level III,2020-03-19,2020-07-31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0
Gansu,Gansu,TRUE,Level I,2020-01-25,2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Gansu,Gansu,TRUE,Level III,2020-02-27,2020-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Gansu,Gansu,TRUE,Level IV,2020-05-11,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Guangdong,Guangdong,TRUE,Level I,2020-01-23,2020-02-23,1,0,2,0,1,1,0,1,0,1,0,2,0,1,0,0,1,0,1,0,8,0,11,5,0,1,0,30,0,23,0,20,26,0,30,0
Guangdong,Guangdong,TRUE,Level II,2020-02-24,2020-05-08,0,1,0,1,0,2,0,1,0,0,1,0,1,0,1,0,1,0,0,40,0,32,0,47.5,0,26,0,0,34,0,42,0,26.5,0,48,0
Guangdong,Guangdong,TRUE,Level III,2020-05-09,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Guangxi,Guangxi,TRUE,Level I,2020-01-24,2020-02-23,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,20,0,0,0,0
Guangxi,Guangxi,TRUE,Level III,2020-02-24,2020-07-31,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,77,0,0,0,0,0
Hainan,Hainan,TRUE,Level II pre-I,2020-01-24,2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Hainan,Hainan,TRUE,Level I,2020-01-25,2020-02-25,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,22,0,0,0,0
Hainan,Hainan,TRUE,Level III,2020-02-26,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Hebei,Hebei,TRUE,Level I,2020-01-25,2020-04-29,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,9,46,0,0,0,94,0,0,0,86,49,0,0,0
Hebei,Hebei,TRUE,Level II,2020-04-30,2020-06-05,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.25,0,0,0,0,0,0,0,0,19.75,0,0,0
Hebei,Hebei,TRUE,Level III,2020-06-06,2020-07-31,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.333333333333333,0,0,0,0,0,0,0,0,53,0,0,0
Heilongjiang,Heilongjiang,TRUE,Level II pre-I,2020-01-21,2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Heilongjiang,Heilongjiang,TRUE,Level I,2020-01-25,2020-03-03,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,29,0,0,0,0
Heilongjiang,Heilongjiang,TRUE,Level II,2020-03-04,2020-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Heilongjiang,Heilongjiang,TRUE,Level III,2020-03-25,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Henan,Henan,TRUE,Level I,2020-01-25,2020-03-18,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,9,6,0,0,0,0,0,0,47,44,47,0,0,0
Henan,Henan,TRUE,Level II,2020-03-19,2020-05-05,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
Henan,Henan,TRUE,Level III,2020-05-06,2020-07-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,39,0,0,0,0
Hubei,Hubei,TRUE,Level II pre-I,2020-01-21,2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Hubei,Hubei,TRUE,Level I,2020-01-24,2020-05-01,10,0,0,0,3,0,0,0,0,2,0,0,0,2,0,0,0,0,44.3,0,0,0,54.666666666666664,0,0,0,0,53.9,0,0,0,43.333333333333336,0,0,0,0
Hubei,Hubei,TRUE,Level II,2020-05-02,2020-06-12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,41,0,0,0,0,0,0,10,0
Hubei,Hubei,TRUE,Level III,2020-06-13,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Hunan,Hunan,TRUE,Level I,2020-01-24,2020-03-09,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,9,0,0,0,10,9,0,2,0,36,0,0,0,35,36,0,47,0
Hunan,Hunan,TRUE,Level II,2020-03-10,2020-03-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Hunan,Hunan,TRUE,Level III,2020-03-31,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Jiangsu,Jiangsu,TRUE,Level I,2020-01-24,2020-02-24,12,0,2,0,1,2,0,1,0,10,0,2,0,1,0,0,1,0,7.083333333333333,0,9,0,10,36.5,0,1,0,24.25,0,22,0,21,5.5,0,32,0
Jiangsu,Jiangsu,TRUE,Level II,2020-02-25,2020-03-27,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,20,0,0,0
Jiangsu,Jiangsu,TRUE,Level III,2020-03-28,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Jiangxi,Jiangxi,TRUE,Level I,2020-01-24,2020-03-11,3,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,9,0,0,0,10,0,0,1,0,38,0,0,0,37,0,0,46,0
Jiangxi,Jiangxi,TRUE,Level II,2020-03-12,2020-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Jiangxi,Jiangxi,TRUE,Level III,2020-03-20,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Jilin,Jilin,TRUE,Level I,2020-01-25,2020-02-25,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,27,0,0,0,0
Jilin,Jilin,TRUE,Level II,2020-02-26,2020-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Jilin,Jilin,TRUE,Level III,2020-03-20,2020-07-31,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,61,0,0,0,0,61,0,0,0,72,0,0,0,0,72,0,0,0
Liaoning,Liaoning,TRUE,Level II pre-I,2020-01-24,2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Liaoning,Liaoning,TRUE,Level I,2020-01-25,2020-02-21,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,18,0,0,0,0
Liaoning,Liaoning,TRUE,Level III,2020-02-22,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Neimenggu,Neimenggu,TRUE,Level I,2020-01-25,2020-02-24,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,9,4,0,0,0,0,0,0,0,21,26,0,30,0
Neimenggu,Neimenggu,TRUE,Level III,2020-02-25,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Ningxia,Ningxia,TRUE,Level I,2020-01-25,2020-02-27,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,24,0,0,0,0
Ningxia,Ningxia,TRUE,Level II,2020-02-28,2020-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Ningxia,Ningxia,TRUE,Level III,2020-05-06,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Qinghai,Qinghai,TRUE,Level I,2020-01-25,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Qinghai,Qinghai,TRUE,Level II,2020-02-26,2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Qinghai,Qinghai,TRUE,Level IV,2020-03-06,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Shandong,Shandong,TRUE,Level I,2020-01-25,2020-03-07,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,33,0,0,0,0
Shandong,Shandong,TRUE,Level II,2020-03-08,2020-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Shandong,Shandong,TRUE,Level III,2020-05-06,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Shanghai,Shanghai,TRUE,Level I,2020-01-24,2020-03-23,4,0,2,7,1,1,0,2,0,3,0,2,5,1,0,0,1,0,38.25,0,37.5,47.57142857142857,10,25,0,25.5,0,21.75,0,22.5,12.857142857142858,49,34,0,34.5,0
Shanghai,Shanghai,TRUE,Level II,2020-03-24,2020-05-08,2,0,1,5,1,2,0,1,0,1,0,1,4,0,0,0,0,0,3,0,0,3.2,48,34,0,15,0,47,0,45,47,3,11,0,30,0
Shanghai,Shanghai,TRUE,Level III,2020-05-09,2020-07-31,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,38,0,0,81,2,0,0,0,0,45,0,0,2,81,0,0,0,0
Shanxi,Shanxi,TRUE,Level I,2020-01-25,2020-02-23,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,20,0,0,0,0
Shanxi,Shanxi,TRUE,Level II,2020-02-24,2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Shanxi,Shanxi,TRUE,Level III,2020-03-10,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Sichuan,Sichuan,TRUE,Level I,2020-01-24,2020-02-24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,25,0,0,0
Sichuan,Sichuan,TRUE,Level II,2020-02-25,2020-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Sichuan,Sichuan,TRUE,Level III,2020-03-24,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Tianjin,Tianjin,TRUE,Level I,2020-01-25,2020-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Tianjin,Tianjin,TRUE,Level II,2020-04-30,2020-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Tianjin,Tianjin,TRUE,Level III,2020-06-06,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Xinjiang,Xinjiang,TRUE,Level I,2020-01-25,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Xinjiang,Xinjiang,TRUE,Level II,2020-02-26,2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Xinjiang,Xinjiang,TRUE,Level III,2020-03-07,2020-03-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0
Xinjiang,Xinjiang,TRUE,Level IV,2020-03-22,2020-07-31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,137,0,0,0
Xizang,Xizang,TRUE,Level I,2020-01-30,2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Xizang,Xizang,TRUE,Level II,2020-03-06,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
Yunnan,Yunnan,TRUE,Level I,2020-01-24,2020-02-23,0,0,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,30,21,0,0,0,0
Yunnan,Yunnan,TRUE,Level III,2020-02-24,2020-07-31,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,116,0,0,0,0,0
Zhengjiang,Zhengjiang,TRUE,Level I,2020-01-23,2020-03-01,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,11,0,0,3,0,0,0,0,0,27,0,0,35,0
Zhengjiang,Zhengjiang,TRUE,Level II,2020-03-02,2020-03-22,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,6,0,0,0,0,0
Zhengjiang,Zhengjiang,TRUE,Level III,2020-03-23,2020-07-31,0,0,0,1,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,24.5,0,23.5,0,0,0,0,125,0,105.5,0,106.5,0
